,RMSE,MAE,MAPE (%),Accuracy (1-MAPE) %,Directional Accuracy (%)
SARIMAX,34.37658888402996,29.53232937052924,0.5890367624320426,99.41096323756796,6.0606060606060606
Hybrid (Ours),129.72757547191767,127.13860014740695,2.5394499193141846,97.46055008068582,20.2020202020202
